3comvax	3Com Corporation	Santa Clara, CA
aaahq01	American Automobile Association, Hea	Heathrow, Florida
aablue	AA Blueprint Co., Inc.	Ohio
aardvark	Steve's Unix System, Portland	Portland, Oregon
abekas	Abekas Video Systems Inc, Redwood Ci	Redwood City, CA
abhg	ABHG Computing	Danville, CA
abode	Abode Computer Services	El Monte, CA
absolut	Absolut Software	Newton, MA
abstl	Anheuser-Busch, Inc.	St Louis, Missouri
abtcser	Abbott Labs.	Abbott Park, IL
abvax	Allen-Bradley Company, Inc.	Highland Heights O
acad	Autodesk Inc.	Sausalito, CA
acheron	Ciliophora Associates	Ossining, New York
acich	Automated Concepts, Inc. (Chicago)	Illinois
acsm	Aikido Computer Systems, Ltd.	Melville, New York
actisb	Actis in Berlin GmbH	Germany
ada3	Boeing Commercial Airplane	Seattle, WA
adaptex	Adaptec Inc.	Grapevine, Texas
adelie	Adelie Corporation	Cambridge, MA
adobe	Adobe Systems Incorporated	Mountain View, CA
adsi	Application Data Systems, Inc.	Memphis, Tennessee
aetech	Aetech, Inc.	Carlsbad, CA
agora	The Open Communication Forum	Portland, Oregon
aicchi	Analysts International Corp., Chicag	Schaumburg, IL
aim1	Aztec Information Management (Pty)	ROGGEBAAI
aimed	Acme Computing	Ontario
aimt	AIM Technology	Santa Clara, CA
ajfcal	Crafield Digital Inc.	Canada
akix	CxS Technology	San Diego, CA
alantec	Alantec Inc.	San Jose, CA
alberta	University of Alberta, Dept. of Comp	Canada
alchemy	Alchemy Software Designs	Corona, California
alembic	Alembic Computer Services Co.	McLean, Virginia
aleph	Aleph	Santa Clara, CA
alfalfa	Alfalfa Software, Inc.	Cambridge, MA
alias	Alias Research Inc.	Toronto, Ontario
allegra	AT&T Bell Laboratories	Murray Hill, NJ
alliant	Alliant Computer Systems Corporation	Littleton, MA
aloha1	Department of Electrical Engineering	Honolulu, Hawaii
alpha	Assistive Device Resource Center	Indiana USA
alps	American LP Systems, Inc.	Bohemia, New York
althea	Shakedown Street Public Access Unix	New Brunswick, NJ
altitude	Communications Accessibles Montreal	CANADA
alzabo	Midnight Software Inc.	Canada
amara	Applied Dynamics International, Inc.	Ann Arbor, MI
